IJK;     81.982 80.532 79.472
IKJ;    113.774 113.580 363.580
IEX;     79.505 116.495 362.697
UNROLL4;    147.591 156.027 264.625
UNROLL8;    149.882 145.693 263.420
CBLAS;    324.881 329.388 330.913
