IJK;     81.982 81.824 82.182
IKJ;    113.774 148.678 148.963
IEX;     79.505 148.127 148.832
UNROLL4;    147.591 162.674 162.812
UNROLL8;    149.882 151.358 151.454
CBLAS;    324.881 332.752 1179.688
