IJK;     80.532 89.692 208.640
IKJ;    113.580 266.559 245.040
IEX;    116.495 279.259 245.066
UNROLL4;    156.027 166.631 236.102
UNROLL8;    145.693 168.878 237.378
CBLAS;    329.388 331.905 1344.237
