IJK;     82.182 208.640 208.642
IKJ;    148.963 245.040 249.336
IEX;    148.832 245.066 249.741
UNROLL4;    162.812 236.102 252.015
UNROLL8;    151.454 237.378 169.924
CBLAS;   1179.688 1344.237 1316.795
