IJK;     79.472 89.235 208.642
IKJ;    363.580 278.615 249.336
IEX;    362.697 266.888 249.741
UNROLL4;    264.625 171.215 252.015
UNROLL8;    263.420 172.514 169.924
CBLAS;    330.913 330.443 1316.795
