     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      924903.400;      948946.460;      928349.301;        7742.368 ( 0.834 %);     82.182
       IKJ;         234.375;           0.229;           0.000;        100;        100;      509758.420;      537969.140;      512168.487;        6660.774 ( 1.301 %);    148.963
       IEX;         234.375;           0.229;           0.000;        100;        100;      509929.530;      537856.780;      512616.533;        6347.866 ( 1.238 %);    148.832
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      467497.390;      496036.220;      468601.013;        4933.274 ( 1.053 %);    162.812
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      501509.520;      526834.750;      503744.802;        5822.958 ( 1.156 %);    151.454
     CBLAS;         234.375;           0.229;           0.000;        100;        100;       50632.670;      511985.120;       64672.972;       80300.434 (124.164 %);   1179.688
