     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      362893.220;      383891.270;      365668.881;        4614.051 ( 1.262 %);    208.642
       IKJ;         234.375;           0.229;           0.000;        100;        100;      305230.110;      324645.150;      305988.567;        3375.629 ( 1.103 %);    249.336
       IEX;         234.375;           0.229;           0.000;        100;        100;      304817.500;      324023.390;      305491.945;        3331.202 ( 1.090 %);    249.741
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      302101.210;      321403.870;      302735.246;        3351.937 ( 1.107 %);    252.015
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      447288.790;      467922.120;      448987.563;        3445.647 ( 0.767 %);    169.924
     CBLAS;         234.375;           0.229;           0.000;        100;        100;       50405.020;      276362.960;       57939.141;       39341.810 (67.902 %);   1316.795
