     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;       23176.342;          39.130;          41.030;          39.319;           0.319 ( 0.811 %);  19403.792
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        5223.600;          39.400;          40.470;          39.584;           0.174 ( 0.440 %);  19274.112
