     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1114.189;          14.560;          18.830;          14.758;           0.733 ( 4.966 %);  51694.971
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         450.125;          14.950;          16.730;          15.055;           0.305 ( 2.023 %);  50678.345
