     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;       13326.522;          84.630;          86.760;          84.862;           0.356 ( 0.420 %);   8990.342
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        5190.795;          79.170;          79.530;          79.341;           0.112 ( 0.141 %);   9615.966
