     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         730.299;          72.860;          74.230;          73.050;           0.231 ( 0.317 %);  10444.072
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         617.597;          65.140;          65.650;          65.381;           0.104 ( 0.159 %);  11669.093
