     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;       18547.606;          91.960;          93.580;          92.156;           0.277 ( 0.301 %);   8278.777
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        3847.514;          84.670;        1667.080;         227.308;         457.461 (201.251 %);   3356.406
