     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         714.828;          65.680;          68.030;          65.944;           0.386 ( 0.586 %);  11569.569
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         546.980;          65.800;        2374.660;         348.496;         605.918 (173.867 %);   2189.234
