     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      931145.060;     1040150.500;      947370.107;       30274.069 ( 3.196 %);     80.532
       IKJ;         234.375;           0.229;           0.000;        100;        100;      647036.440;      768624.010;      671719.934;       33294.481 ( 4.957 %);    113.580
       IEX;         234.375;           0.229;           0.000;        100;        100;      647060.210;      736553.460;      654909.414;       18791.362 ( 2.869 %);    116.495
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      481707.510;      537333.240;      488979.485;       15414.619 ( 3.152 %);    156.027
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      508469.560;      592392.800;      523661.496;       23431.120 ( 4.474 %);    145.693
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      229289.410;      264152.560;      231623.606;        8293.107 ( 3.580 %);    329.388
