     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         574.519;          72.670;         121.040;          81.007;          16.148 (19.935 %);   9418.160
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         796.227;          66.440;          96.300;          70.726;           8.907 (12.594 %);  10787.247
