     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      928749.980;      965028.120;      932415.136;       10298.105 ( 1.104 %);     81.824
       IKJ;         234.375;           0.229;           0.000;        100;        100;      511654.130;      548258.850;      513148.426;        6318.237 ( 1.231 %);    148.678
       IEX;         234.375;           0.229;           0.000;        100;        100;      511968.450;      549319.360;      515057.511;        8705.956 ( 1.690 %);    148.127
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      467771.290;      503459.600;      469000.332;        6188.319 ( 1.319 %);    162.674
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      502437.100;      538238.010;      504062.198;        6139.937 ( 1.218 %);    151.358
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      229168.540;      230227.190;      229281.926;         176.371 ( 0.077 %);    332.752
