     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2642.172;          89.320;          91.030;          89.590;           0.285 ( 0.318 %);   8515.928
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        6917.098;          50.040;          50.780;          50.161;           0.132 ( 0.263 %);  15209.749
