     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         531.719;          72.050;         197.350;          76.700;          21.676 (28.260 %);   9947.059
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        1143.931;          65.610;          66.060;          65.794;           0.134 ( 0.203 %);  11595.946
