     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1330.855;          67.700;          70.600;          67.937;           0.487 ( 0.716 %);  11230.157
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         623.604;          67.490;          67.820;          67.652;           0.092 ( 0.137 %);  11277.391
