     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      845572.850;      890667.080;      850618.387;       11530.393 ( 1.356 %);     89.692
       IKJ;         234.375;           0.229;           0.000;        100;        100;      272568.770;      365288.600;      286217.733;       21954.650 ( 7.671 %);    266.559
       IEX;         234.375;           0.229;           0.000;        100;        100;      272194.110;      287756.130;      273200.922;        3337.693 ( 1.222 %);    279.259
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      447051.220;      553953.300;      457860.714;       25094.685 ( 5.481 %);    166.631
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      439451.500;      535519.770;      451769.990;       22952.387 ( 5.081 %);    168.878
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      229311.020;      240777.340;      229866.595;        1971.951 ( 0.858 %);    331.905
