     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         695.695;          65.900;         145.070;          69.143;          14.123 (20.426 %);  11034.221
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        1579.657;          65.670;          66.420;          65.845;           0.139 ( 0.211 %);  11586.874
