     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2711.120;          84.620;          87.040;          84.868;           0.408 ( 0.481 %);   8989.764
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        2825.022;          79.140;          81.280;          79.401;           0.352 ( 0.444 %);   9608.736
