     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         984.253;          14.670;          16.770;          14.805;           0.354 ( 2.393 %);  51530.971
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         445.685;          14.540;          16.480;          14.669;           0.329 ( 2.243 %);  52011.077
