     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        4554.145;          90.670;          92.120;          90.959;           0.267 ( 0.294 %);   8387.749
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;       31116.713;          85.260;          85.730;          85.435;           0.121 ( 0.142 %);   8930.073
