     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      845762.490;      984638.420;      854978.548;       24767.404 ( 2.897 %);     89.235
       IKJ;         234.375;           0.229;           0.000;        100;        100;      272177.430;      295192.450;      273832.481;        5246.964 ( 1.916 %);    278.615
       IEX;         234.375;           0.229;           0.000;        100;        100;      282635.850;      302545.500;      285865.202;        3722.820 ( 1.302 %);    266.888
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      444404.060;      463836.140;      445602.313;        3765.093 ( 0.845 %);    171.215
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      440076.170;      459651.860;      442246.846;        5044.173 ( 1.141 %);    172.514
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      229193.230;      248708.890;      230883.918;        4252.052 ( 1.842 %);    330.443
