     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      364805.260;      384310.190;      365672.205;        3361.891 ( 0.919 %);    208.640
       IKJ;         234.375;           0.229;           0.000;        100;        100;      310658.570;      329920.550;      311353.409;        3337.251 ( 1.072 %);    245.040
       IEX;         234.375;           0.229;           0.000;        100;        100;      310648.740;      329911.060;      311320.055;        3345.154 ( 1.075 %);    245.066
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      322399.080;      341591.880;      323139.103;        3333.079 ( 1.031 %);    236.102
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      319835.490;      348688.130;      321402.378;        5922.686 ( 1.843 %);    237.378
     CBLAS;         234.375;           0.229;           0.000;        100;        100;       50949.350;      241826.750;       56756.338;       33223.402 (58.537 %);   1344.237
