     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         440.025;          72.710;          73.960;          72.908;           0.214 ( 0.293 %);  10464.431
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         726.149;          66.320;          66.930;          66.478;           0.133 ( 0.201 %);  11476.539
