     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      939273.620;     1006313.500;      960008.293;       27711.045 ( 2.887 %);     79.472
       IKJ;         234.375;           0.229;           0.000;        100;        100;      209717.950;      210699.940;      209840.979;         211.569 ( 0.101 %);    363.580
       IEX;         234.375;           0.229;           0.000;        100;        100;      209091.390;      243885.140;      210351.952;        6035.542 ( 2.869 %);    362.697
   UNROLL4;         234.375;           0.229;           0.000;        100;        100;      288085.290;      291717.890;      288309.545;         629.043 ( 0.218 %);    264.625
   UNROLL8;         234.375;           0.229;           0.000;        100;        100;      287530.760;      324529.460;      289628.827;        7693.659 ( 2.656 %);    263.420
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      229235.690;      265206.210;      230555.699;        6224.407 ( 2.700 %);    330.913
